"","numid","name","title","mktgrp","office","prevemp","experiance","education"
"1",1,"hunt","partner","office","montgomery","national","11","mba"
"2",2,"miller","partner","industrial","fairfax","national","4","mba"
"3",3,"rogers","partner","office","princegeorges","national","12","ba"
"4",4,"osborne","partner","industrial","fairfax","national","11","mm"
"5",5,"hill","leasingagent","office","princegeorges","industrialcorp","1","mba"
"6",6,"young","leasingagent","retail","fairfax","hotelcorp","1","mba"
"7",7,"marsh","partner","retail","fairfax","national","5","mba"
"8",8,"dempsey","partner","industrial","fairfax","national","5","mba"
"9",9,"mach","seniorpartner","all","fairfax","national","25","ba"
"10",10,"stempel","leasingagent","office","princegeorges","other","4","mba"
"11",11,"conway","leasingagent","office","fairfax","national","6","mm"
"12",12,"carter","seniorpartner","office","fairfax","national","18","bs"
"13",13,"dunkin","partner","industrial","fairfax","national","10","ba"
"14",14,"mcgovern","leasingagent","industrial","fairfax","national","5","mba"
"15",15,"palmer","partner","office","fairfax","national","7","jd"
"16",16,"aoki","partner","office","montgomery","national","20","mba"
"17",17,"dupper","partner","office","montgomery","national","5","mba"
"18",18,"faust","partner","office","princegeorges","national","5","mm"
"19",19,"sadler","seniorpartner","retail","fairfax","national","16","mba"
"20",20,"booker","seniorpartner","industrial","fairfax","national","27","bs"
